sigungu,lat,lon,shelter_name,shelter_type,road_address,lot_address,area_m2,capacity,fans,aircons,rest_area,night_open,weekend_open,stay_open
울진군,36.7174366,129.3729288,금천1리경로당,특정계층이용시설,경상북도 울진군 온정면금천4길 25,-,55,50,1,1,-,아니오,아니오,아니오
포항시,35.97429,129.398727,부영5차경로당,특정계층이용시설,경상북도 포항시 남구 오천읍 중원로 71-30 (5차부영아파트501동),-,100,30,1,1,-,아니오,아니오,아니오
포항시,36.027957,129.3179129,그린빌라어버이집마을쉼터,특정계층이용시설,"경상북도 포항시 남구 지곡로211번길 50 (지곡동, 그린빌라)",-,138.6,45,1,3,-,아니오,아니오,아니오
영덕군,36.514941,129.396459,도곡2리(본동)경로당,특정계층이용시설,경상북도 영덕군 축산면신돌석장군1길 46-8,-,102.7,30,2,1,-,아니오,아니오,아니오
영덕군,36.520138,129.401008,도곡2리(망골)경로당,특정계층이용시설,경상북도 영덕군 축산면 신돌석장군2길 18,-,35.3,30,1,1,-,아니오,아니오,아니오
영덕군,36.507491,129.399072,상원리(본동)경로당,특정계층이용시설,경상북도 영덕군 축산면 상원길 94,-,100.8,30,3,1,-,아니오,아니오,아니오
포항시,36.0060124,129.3247943,효자2동마을쉼터,특정계층이용시설,경상북도 포항시 남구 유동길 42-1 (효자동),-,79.2,26,2,2,-,아니오,아니오,아니오
포항시,36.0899601,129.384533,양덕삼구트리니엔2차마을쉼터,특정계층이용시설,경상북도 포항시 북구 장량중앙로 30 (양덕동),-,115,35,1,1,-,아니오,아니오,아니오
경주시,35.829211,129.140186,광명고란마을경로당,특정계층이용시설,"경상북도 경주시  고란길  207-1, 광명고란마을회관 (광명동)",-,132.8,40,1,2,-,아니오,아니오,아니오
의성군,36.3759364,128.3827474,단밀면분회경로당,특정계층이용시설,경상북도 의성군 단밀면주속길 60,-,76.88,164,3,2,-,아니오,아니오,아니오
포항시,36.0878888,129.3935272,천년나무6단지경로당,특정계층이용시설,"경상북도 포항시 북구 장량중앙로100번길 1 (양덕동, 포항장량LH천년나무6단지아파트)",-,100,30,1,1,-,아니오,아니오,아니오
포항시,36.0879273,129.3957477,양덕트리니엔3차경로당,특정계층이용시설,"경상북도 포항시 북구 천마로 123 (양덕동, 양덕삼구트리니엔3차)",-,100,30,1,1,-,아니오,아니오,아니오
포항시,36.0920183,129.38249,장량휴먼시아마을쉼터,특정계층이용시설,"경상북도 포항시 북구 장량중앙로 17 (양덕동, 장량휴먼시아)",-,100,30,2,1,-,아니오,아니오,아니오
구미시,36.1069436,128.4014594,갓등경로당,특정계층이용시설,경상북도 구미시 3공단1로 275-40,-,87.6,22,4,1,-,아니오,아니오,아니오
상주시,36.2855731,128.092939,옥산2리마을회관,특정계층이용시설,경상북도 상주시 공성면 옥산4길 21,-,98,30,2,1,-,아니오,아니오,아니오
예천군,36.5315714,128.3408426,청곡2경로당,특정계층이용시설,경상북도 예천군 풍양면 청감길 17,-,141,35,1,1,-,아니오,아니오,아니오
포항시,35.9791552,129.3640141,제내1리마을쉼터,특정계층이용시설,경상북도 포항시 남구 대송면 제내길75번길 24,-,29,9,2,1,-,아니오,아니오,아니오
예천군,36.5180176,128.3302286,흔효1경로당,특정계층이용시설,경상북도 예천군 풍양면 흔전길 123,-,111,27,2,1,-,아니오,아니오,아니오
칠곡군,35.9825273,128.3974099,왜관16리경로당,특정계층이용시설,경상북도 칠곡군 왜관읍 자조1길 10 (칠곡왜관2단지주공아파트),-,99,50,1,1,-,아니오,아니오,아니오
칠곡군,36.003532,128.419633,석전1리경로당,특정계층이용시설,경상북도 칠곡군 왜관읍 석전로16길  45,-,32,30,2,1,-,아니오,아니오,아니오
칠곡군,36.003392,128.410658,석전2리경로당,특정계층이용시설,경상북도 칠곡군 왜관읍 석전로12길  22-4,-,172,50,2,2,-,아니오,아니오,아니오
예천군,36.6151797,128.4298621,담암리경로당,특정계층이용시설,경상북도 예천군 호명읍 담암길 64,-,79,19,1,1,-,아니오,아니오,아니오
예천군,36.6368286,128.4030308,화지경로당,특정계층이용시설,경상북도 예천군 유천면 화지1길 19,-,30,7,1,1,-,아니오,아니오,아니오
김천시,36.114044,128.0169483,상가경로당,특정계층이용시설,경상북도 김천시 대항면 황악로 1441-21,-,60,15,1,1,-,아니오,아니오,예
