emd_code,sido_name,sigungu_name,emd_name,center_lat,center_lon,grid_nx,grid_ny,announce_time,temperature,humidity,feels_like,risk_tier
4725034000,경상북도,상주시,청리면,36.33237580531682,128.13685767978183,80,100,20260823T01:00,23.1,95.0,26.1,양호
4725025000,경상북도,상주시,함창읍,36.55182122624498,128.19194007055728,81,105,20260823T01:00,22.3,100.0,25.6,양호
4725047000,경상북도,상주시,화남면,36.446854430197746,127.8937327005907,76,103,20260823T01:00,21.7,94.0,24.5,양호
4725040000,경상북도,상주시,화동면,36.39812403970283,127.97624279535424,78,102,20260823T01:00,21.7,94.0,24.5,양호
4725042000,경상북도,상주시,화북면,36.58207187567582,127.86838464423177,76,106,20260823T01:00,21.3,100.0,24.5,양호
4725042600,경상북도,상주시,화북면서부출장소,36.60157163407683,127.82817037387748,75,106,20260823T01:00,21.3,100.0,24.5,양호
4725041000,경상북도,상주시,화서면,36.45710031809018,127.96046575105258,77,103,20260823T01:00,21.7,94.0,24.5,양호
4784034000,경상북도,성주군,가천면,35.869087102423,128.1305930550324,81,90,20260823T01:00,21.4,100.0,24.6,양호
4784035500,경상북도,성주군,금수강산면,35.91929548817801,128.13084726840603,81,91,20260823T01:00,21.4,100.0,24.6,양호
4784035000,경상북도,성주군,금수면,35.91937726836321,128.13072599497954,81,91,20260823T01:00,21.4,100.0,24.6,양호
4784036000,경상북도,성주군,대가면,35.90281702256408,128.20801033584502,82,91,20260823T01:00,24.1,94.0,27.0,양호
4784037000,경상북도,성주군,벽진면,35.97597447572598,128.19046156220463,82,93,20260823T01:00,23.5,93.0,26.3,양호
4784031000,경상북도,성주군,선남면,35.90312162670816,128.356405591472,85,91,20260823T01:00,24.1,96.0,27.2,양호
4784025000,경상북도,성주군,성주읍,35.919711761901766,128.28225647274434,83,91,20260823T01:00,24.1,94.0,27.0,양호
4784033000,경상북도,성주군,수륜면,35.83283626684174,128.20016928126694,82,89,20260823T01:00,24.1,100.0,27.4,양호
4784032000,경상북도,성주군,용암면,35.84091160663911,128.3177012638059,84,90,20260823T01:00,24.1,94.0,27.0,양호
4784039000,경상북도,성주군,월항면,35.97444005138802,128.3023392966002,84,93,20260823T01:00,23.4,100.0,26.7,양호
4784038000,경상북도,성주군,초전면,35.9979017427108,128.25035381766375,83,93,20260823T01:00,24.1,94.0,27.0,양호
4717069000,경상북도,안동시,강남동,36.54356201962357,128.72838317622515,91,105,20260823T01:00,23.1,94.0,26.0,양호
4717039000,경상북도,안동시,길안면,36.40629450510449,128.91429669978007,94,102,20260823T01:00,21.4,100.0,24.6,양호
4717037000,경상북도,안동시,남선면,36.50790389858382,128.7506105921834,91,104,20260823T01:00,22.7,95.0,25.6,양호
4717036000,경상북도,안동시,남후면,36.52863448405218,128.629864804143,89,105,20260823T01:00,21.6,100.0,24.8,양호
4717043000,경상북도,안동시,녹전면,36.75081931226136,128.76715549877363,91,110,20260823T01:00,20.5,100.0,23.7,양호
4717042000,경상북도,안동시,도산면,36.74869618824149,128.85432331129314,93,110,20260823T01:00,21.8,99.0,25.0,양호
4717042500,경상북도,안동시,도산면서부출장소,36.69821076669484,128.81223184943116,92,109,20260823T01:00,21.8,99.0,25.0,양호
4717052000,경상북도,안동시,명륜동,36.58313315149238,128.742534692673,91,106,20260823T01:00,23.1,94.0,26.0,양호
4717061000,경상북도,안동시,법상동,36.56180390123694,128.71198851975475,90,106,20260823T01:00,23.1,94.0,26.0,양호
4717032000,경상북도,안동시,북후면,36.66373397387007,128.7036041829956,90,108,20260823T01:00,20.5,100.0,23.7,양호
4717058500,경상북도,안동시,서구동,36.56436490356056,128.72161651607385,91,106,20260823T01:00,23.1,94.0,26.0,양호
4717033000,경상북도,안동시,서후면,36.62609633901558,128.6574671703082,89,107,20260823T01:00,20.5,100.0,23.7,양호
4717066000,경상북도,안동시,송하동,36.58029288037887,128.69139862836016,90,106,20260823T01:00,23.1,94.0,26.0,양호
4717063000,경상북도,안동시,안기동,36.591715980957446,128.71444598017627,90,106,20260823T01:00,23.1,94.0,26.0,양호
4717041000,경상북도,안동시,예안면,36.68440779182565,128.89719067475434,93,108,20260823T01:00,21.8,99.0,25.0,양호
4717041500,경상북도,안동시,예안면삼계출장소,36.71950296108004,128.9250460547463,94,109,20260823T01:00,21.8,99.0,25.0,양호
4717065000,경상북도,안동시,옥동,36.55840724037033,128.69033618013026,90,106,20260823T01:00,23.1,94.0,26.0,양호
4717031000,경상북도,안동시,와룡면,36.6328314614386,128.78317193942743,92,107,20260823T01:00,21.8,99.0,25.0,양호
4717055500,경상북도,안동시,용상동,36.56107582774795,128.77487728571325,91,106,20260823T01:00,23.1,94.0,26.0,양호
4717035000,경상북도,안동시,일직면,36.46287971573481,128.64329554782427,89,103,20260823T01:00,22.7,95.0,25.6,양호
4717040000,경상북도,안동시,임동면,36.59231192641745,128.9334348912883,94,106,20260823T01:00,21.8,99.0,25.0,양호
4717038000,경상북도,안동시,임하면,36.51720939353426,128.8464247093628,93,105,20260823T01:00,23.0,99.0,26.2,양호
4717051000,경상북도,안동시,중구동,36.57357475930209,128.75658633756152,91,106,20260823T01:00,23.1,94.0,26.0,양호
4717060000,경상북도,안동시,태화동,36.56180390123694,128.71198851975475,90,106,20260823T01:00,23.1,94.0,26.0,양호
4717062000,경상북도,안동시,평화동,36.57300800905165,128.71119128513433,90,106,20260823T01:00,23.1,94.0,26.0,양호
4717025000,경상북도,안동시,풍산읍,36.59891388613434,128.54573126635543,87,106,20260823T01:00,22.3,100.0,25.6,양호
4717034000,경상북도,안동시,풍천면,36.51785542143077,128.50574011974817,87,105,20260823T01:00,22.3,100.0,25.6,양호
4717034500,경상북도,안동시,풍천면어담출장소,36.49372255234466,128.56397644522454,88,104,20260823T01:00,23.1,94.0,26.0,양호
4777031000,경상북도,영덕군,강구면,36.37724861463929,129.36308660685145,102,102,20260823T01:00,22.7,97.0,25.8,양호
4777032000,경상북도,영덕군,남정면,36.32117496554322,129.33966206656712,102,101,20260823T01:00,22.7,97.0,25.8,양호
4777033000,경상북도,영덕군,달산면,36.37085710534543,129.26825891416948,100,102,20260823T01:00,21.6,100.0,24.8,양호
4777037000,경상북도,영덕군,병곡면,36.60662675986772,129.3817490124299,102,107,20260823T01:00,22.7,98.0,25.8,양호
