region_code,sido,sigungu,gu,eupmyeondong,level,region_name,total_population,elderly_65_plus,elderly_65_ratio,elderly_75_plus,elderly_75_ratio,elderly_85_plus,elderly_85_ratio,child_0_14,child_0_14_ratio,working_15_64,working_15_64_ratio,aging_index,pop_0_9,ratio_0_9,pop_10_19,ratio_10_19,pop_20_29,ratio_20_29,pop_30_39,ratio_30_39,pop_40_49,ratio_40_49,pop_50_59,ratio_50_59,pop_60_69,ratio_60_69,pop_70_79,ratio_70_79,pop_80_plus,ratio_80_plus,base_year
4713057000,경상북도,경주시,,황남동,eupmyeondong,황남동,3552,1774,49.94,909,25.59,303,8.53,89.0,2.51,1689.0,47.55,1993.3,43.0,1.21,121.0,3.41,145.0,4.08,187.0,5.26,299.0,8.42,578.0,16.27,853.0,24.01,750.0,21.11,576.0,16.22,2026
4713059000,경상북도,경주시,,선도동,eupmyeondong,선도동,13492,3161,23.43,1294,9.59,384,2.85,1197.0,8.87,9134.0,67.7,264.1,528.0,3.91,1398.0,10.36,1355.0,10.04,1185.0,8.78,1925.0,14.27,2680.0,19.86,2310.0,17.12,1388.0,10.29,723.0,5.36,2026
4713060500,경상북도,경주시,,월성동,eupmyeondong,월성동,5176,2008,38.79,927,17.91,268,5.18,356.0,6.88,2812.0,54.33,564.0,150.0,2.9,366.0,7.07,284.0,5.49,338.0,6.53,541.0,10.45,939.0,18.14,1168.0,22.57,846.0,16.34,544.0,10.51,2026
4713061500,경상북도,경주시,,용강동,eupmyeondong,용강동,24683,3677,14.9,1271,5.15,350,1.42,4123.0,16.7,16883.0,68.4,89.2,2359.0,9.56,3136.0,12.71,1890.0,7.66,3149.0,12.76,4527.0,18.34,4141.0,16.78,3276.0,13.27,1486.0,6.02,719.0,2.91,2026
4713062100,경상북도,경주시,,황성동,eupmyeondong,황성동,27969,4678,16.73,1596,5.71,412,1.47,3279.0,11.72,20012.0,71.55,142.7,1676.0,5.99,3349.0,11.97,2953.0,10.56,3082.0,11.02,4218.0,15.08,5726.0,20.47,4207.0,15.04,1890.0,6.76,868.0,3.1,2026
4713063000,경상북도,경주시,,동천동,eupmyeondong,동천동,19761,5100,25.81,1787,9.04,424,2.15,1244.0,6.3,13417.0,67.9,410.0,578.0,2.92,1526.0,7.72,2126.0,10.76,2043.0,10.34,2388.0,12.08,4018.0,20.33,3883.0,19.65,2241.0,11.34,958.0,4.85,2026
4713065000,경상북도,경주시,,불국동,eupmyeondong,불국동,9427,3092,32.8,1327,14.08,403,4.27,722.0,7.66,5613.0,59.54,428.3,456.0,4.84,553.0,5.87,619.0,6.57,962.0,10.2,1145.0,12.15,1652.0,17.52,1953.0,20.72,1270.0,13.47,817.0,8.67,2026
4713066000,경상북도,경주시,,보덕동,eupmyeondong,보덕동,1544,670,43.39,293,18.98,85,5.51,53.0,3.43,821.0,53.17,1264.2,30.0,1.94,48.0,3.11,98.0,6.35,94.0,6.09,144.0,9.33,280.0,18.13,396.0,25.65,284.0,18.39,170.0,11.01,2026
4715000000,경상북도,김천시,,,sigungu,김천시,132550,39888,30.09,17168,12.95,5597,4.22,12543.0,9.46,80119.0,60.44,318.0,6912.0,5.21,11979.0,9.04,10057.0,7.59,12829.0,9.68,16880.0,12.73,21983.0,16.58,24908.0,18.79,16645.0,12.56,10357.0,7.81,2026
4715025000,경상북도,김천시,,아포읍,eupmyeondong,아포읍,7849,2828,36.03,1182,15.06,383,4.88,424.0,5.4,4597.0,58.57,667.0,231.0,2.94,415.0,5.29,424.0,5.4,633.0,8.06,791.0,10.08,1531.0,19.51,1972.0,25.12,1149.0,14.64,703.0,8.96,2026
