region_code,sido,sigungu,eupmyeondong,level,lat,lon
4725041000,경상북도,상주시,화서면,eupmyeondong,36.4571,127.960466
4725042000,경상북도,상주시,화북면,eupmyeondong,36.582072,127.868385
4725042600,경상북도,상주시,화북면서부출장소,eupmyeondong,36.601572,127.82817
4725043000,경상북도,상주시,외서면,eupmyeondong,36.483641,128.047823
4725044000,경상북도,상주시,은척면,eupmyeondong,36.550168,128.068036
4725044500,경상북도,상주시,은척면북부출장소,eupmyeondong,36.577271,128.087727
4725045000,경상북도,상주시,공검면,eupmyeondong,36.51691,128.14127
4725046000,경상북도,상주시,이안면,eupmyeondong,36.577255,128.119258
4725047000,경상북도,상주시,화남면,eupmyeondong,36.446854,127.893733
4725052000,경상북도,상주시,남원동,eupmyeondong,36.410626,128.132109
4725053000,경상북도,상주시,북문동,eupmyeondong,36.44403,128.159884
4725054000,경상북도,상주시,계림동,eupmyeondong,36.440438,128.187781
4725055000,경상북도,상주시,동문동,eupmyeondong,36.429228,128.211645
4725056000,경상북도,상주시,동성동,eupmyeondong,36.389493,128.184734
4725057000,경상북도,상주시,신흥동,eupmyeondong,36.370325,128.147946
4728000000,경상북도,문경시,,sigungu,36.6932,128.133799
4728025000,경상북도,문경시,문경읍,eupmyeondong,36.769978,128.125219
4728025100,경상북도,문경시,문경읍갈평출장소,eupmyeondong,36.787127,128.158096
4728025300,경상북도,문경시,가은읍,eupmyeondong,36.659463,127.997943
4728025400,경상북도,문경시,가은읍북부출장소,eupmyeondong,36.577271,128.087727
4728029000,경상북도,문경시,문경읍갈평출장소,eupmyeondong,36.787127,128.158096
4728029100,경상북도,문경시,가은읍북부출장소,eupmyeondong,36.577271,128.087727
4728031000,경상북도,문경시,영순면,eupmyeondong,36.565942,128.25675
4728032000,경상북도,문경시,산양면,eupmyeondong,36.621501,128.257952
4728033000,경상북도,문경시,호계면,eupmyeondong,36.664288,128.195486
4728034000,경상북도,문경시,산북면,eupmyeondong,36.708721,128.257498
4728035000,경상북도,문경시,동로면,eupmyeondong,36.774704,128.316798
4728036000,경상북도,문경시,마성면,eupmyeondong,36.683541,128.110394
4728037000,경상북도,문경시,농암면,eupmyeondong,36.582761,127.978928
4728051500,경상북도,문경시,점촌동,eupmyeondong,36.59754,128.197312
4728052000,경상북도,문경시,중앙동,eupmyeondong,36.58501,128.206477
4728053000,경상북도,문경시,신흥동,eupmyeondong,36.618263,128.197812
4728054500,경상북도,문경시,신평동,eupmyeondong,36.626631,128.14456
4728056000,경상북도,문경시,모전동,eupmyeondong,36.590385,128.186024
4728057000,경상북도,문경시,점촌1동,eupmyeondong,36.59754,128.197312
4728058000,경상북도,문경시,점촌2동,eupmyeondong,36.58501,128.206477
4728059000,경상북도,문경시,점촌3동,eupmyeondong,36.618263,128.197812
4728060000,경상북도,문경시,점촌4동,eupmyeondong,36.62663,128.144661
4728061000,경상북도,문경시,점촌5동,eupmyeondong,36.590385,128.186024
4729000000,경상북도,경산시,,sigungu,35.847692,128.80289
4729025000,경상북도,경산시,하양읍,eupmyeondong,35.905595,128.786486
4729025300,경상북도,경산시,진량읍,eupmyeondong,35.869526,128.826098
4729025600,경상북도,경산시,압량읍,eupmyeondong,35.842701,128.772271
4729031000,경상북도,경산시,와촌면,eupmyeondong,35.950643,128.800033
4729033000,경상북도,경산시,자인면,eupmyeondong,35.822778,128.829637
4729034000,경상북도,경산시,용성면,eupmyeondong,35.798638,128.896175
4729035000,경상북도,경산시,남산면,eupmyeondong,35.776802,128.818715
4729036000,경상북도,경산시,압량면,eupmyeondong,35.842046,128.772891
4729037000,경상북도,경산시,남천면,eupmyeondong,35.753405,128.746183
4729051000,경상북도,경산시,중방동,eupmyeondong,35.828657,128.734982
4729052000,경상북도,경산시,중앙동,eupmyeondong,35.823419,128.739284
4729053000,경상북도,경산시,남부동,eupmyeondong,35.804534,128.742566
4729054000,경상북도,경산시,서부동,eupmyeondong,35.814498,128.724856
4729054100,경상북도,경산시,서부1동,eupmyeondong,35.814498,128.724856
4729054200,경상북도,경산시,서부2동,eupmyeondong,35.835341,128.727524
4729055000,경상북도,경산시,북부동,eupmyeondong,35.835676,128.75358
4729056000,경상북도,경산시,동부동,eupmyeondong,35.803496,128.771966
4772000000,경상북도,군위군,,sigungu,36.167492,128.724889
4772025000,경상북도,군위군,군위읍,eupmyeondong,36.235104,128.5789
4772031000,경상북도,군위군,소보면,eupmyeondong,36.255996,128.471106
4772032000,경상북도,군위군,효령면,eupmyeondong,36.143195,128.588722
4772033000,경상북도,군위군,부계면,eupmyeondong,36.066367,128.659849
4772034000,경상북도,군위군,우보면,eupmyeondong,36.169051,128.644794
4772035000,경상북도,군위군,의흥면,eupmyeondong,36.162531,128.73743
4772036000,경상북도,군위군,산성면,eupmyeondong,36.093577,128.71691
4772037000,경상북도,군위군,고로면,eupmyeondong,36.151347,128.828782
4772038000,경상북도,군위군,삼국유사면,eupmyeondong,36.151134,128.828445
4773000000,경상북도,의성군,,sigungu,36.3622,128.594495
4773025000,경상북도,의성군,의성읍,eupmyeondong,36.35062,128.700081
4773031000,경상북도,의성군,단촌면,eupmyeondong,36.433691,128.690203
4773032000,경상북도,의성군,점곡면,eupmyeondong,36.404497,128.765222
4773033000,경상북도,의성군,옥산면,eupmyeondong,36.374946,128.830012
4773034000,경상북도,의성군,사곡면,eupmyeondong,36.303683,128.790655
4773035000,경상북도,의성군,춘산면,eupmyeondong,36.238194,128.818399
4773036000,경상북도,의성군,가음면,eupmyeondong,36.230077,128.728135
4773037000,경상북도,의성군,금성면,eupmyeondong,36.260877,128.685705
4773038000,경상북도,의성군,봉양면,eupmyeondong,36.306127,128.611097
4773039000,경상북도,의성군,비안면,eupmyeondong,36.339475,128.514651
4773040000,경상북도,의성군,구천면,eupmyeondong,36.328166,128.420506
4773041000,경상북도,의성군,단밀면,eupmyeondong,36.368619,128.363463
4773042000,경상북도,의성군,단북면,eupmyeondong,36.394132,128.393919
4773043000,경상북도,의성군,안계면,eupmyeondong,36.395672,128.464801
4773044000,경상북도,의성군,다인면,eupmyeondong,36.469027,128.366071
4773045000,경상북도,의성군,신평면,eupmyeondong,36.469825,128.517441
4773046000,경상북도,의성군,안평면,eupmyeondong,36.38972,128.580854
4773047000,경상북도,의성군,안사면,eupmyeondong,36.45298,128.456996
4775000000,경상북도,청송군,,sigungu,36.377698,129.096199
4775025000,경상북도,청송군,청송읍,eupmyeondong,36.419533,129.102241
4775031000,경상북도,청송군,부동면,eupmyeondong,36.364857,129.14501
4775031500,경상북도,청송군,부동면,eupmyeondong,36.364848,129.145021
4775032000,경상북도,청송군,부남면,eupmyeondong,36.29581,129.146109
4775033000,경상북도,청송군,현동면,eupmyeondong,36.249578,129.03191
4775034000,경상북도,청송군,현서면,eupmyeondong,36.233732,128.930588
4775035000,경상북도,청송군,안덕면,eupmyeondong,36.318613,128.979569
4775036000,경상북도,청송군,파천면,eupmyeondong,36.440635,129.004597
4775037000,경상북도,청송군,진보면,eupmyeondong,36.522211,129.054802
4776000000,경상북도,영양군,,sigungu,36.684199,129.136399
4776025000,경상북도,영양군,영양읍,eupmyeondong,36.636933,129.158372
4776031000,경상북도,영양군,입암면,eupmyeondong,36.599525,129.063027
4776032000,경상북도,영양군,청기면,eupmyeondong,36.722153,129.035915
4776032500,경상북도,영양군,청기면당동출장소,eupmyeondong,36.722153,129.035915
4776032600,경상북도,영양군,청기면당리출장소,eupmyeondong,36.75788,129.053587
4776033000,경상북도,영양군,일월면,eupmyeondong,36.759279,129.120976
4776034000,경상북도,영양군,수비면,eupmyeondong,36.778485,129.234867
4776035000,경상북도,영양군,석보면,eupmyeondong,36.557798,129.168209
4777000000,경상북도,영덕군,,sigungu,36.470396,129.293799
4777025000,경상북도,영덕군,영덕읍,eupmyeondong,36.433029,129.389875
4777031000,경상북도,영덕군,강구면,eupmyeondong,36.377249,129.363087
4777032000,경상북도,영덕군,남정면,eupmyeondong,36.321175,129.339662
4777033000,경상북도,영덕군,달산면,eupmyeondong,36.370857,129.268259
4777034000,경상북도,영덕군,지품면,eupmyeondong,36.456376,129.248485
4777034500,경상북도,영덕군,지품면원전출장소,eupmyeondong,36.484981,129.191986
4777035000,경상북도,영덕군,축산면,eupmyeondong,36.489499,129.376879
4777035500,경상북도,영덕군,축산면축산출장소,eupmyeondong,36.505645,129.442005
4777036000,경상북도,영덕군,영해면,eupmyeondong,36.532937,129.372802
4777037000,경상북도,영덕군,병곡면,eupmyeondong,36.606627,129.381749
4777038000,경상북도,영덕군,창수면,eupmyeondong,36.600176,129.285497
4782000000,경상북도,청도군,,sigungu,35.706094,128.885296
4782012000,경상북도,청도군,청도읍,eupmyeondong,35.634887,128.758974
4782025000,경상북도,청도군,화양읍,eupmyeondong,35.666736,128.713623
4782025100,경상북도,청도군,화양읍남성현출장,eupmyeondong,35.695872,128.717546
4782025300,경상북도,청도군,청도읍,eupmyeondong,35.634887,128.758974
4782025400,경상북도,청도군,청도읍유호출장소,eupmyeondong,35.571898,128.768824
4782029000,경상북도,청도군,화양읍남성현출장,eupmyeondong,35.695872,128.717546
4782029100,경상북도,청도군,청도읍유호출장소,eupmyeondong,35.571898,128.768824
4782031000,경상북도,청도군,각남면,eupmyeondong,35.620657,128.661471
4782032000,경상북도,청도군,풍각면,eupmyeondong,35.635923,128.582771
4782033000,경상북도,청도군,각북면,eupmyeondong,35.690627,128.572281
4782034000,경상북도,청도군,이서면,eupmyeondong,35.692281,128.653778
4782035000,경상북도,청도군,운문면,eupmyeondong,35.726939,128.947915
4782036000,경상북도,청도군,금천면,eupmyeondong,35.698527,128.903435
4782037000,경상북도,청도군,매전면,eupmyeondong,35.665182,128.847115
4783000000,경상북도,고령군,,sigungu,35.730999,128.310893
4783025000,경상북도,고령군,고령읍,eupmyeondong,35.730636,128.261616
4783025300,경상북도,고령군,대가야읍,eupmyeondong,35.730636,128.261616
4783031000,경상북도,고령군,덕곡면,eupmyeondong,35.786079,128.204805
4783032000,경상북도,고령군,운수면,eupmyeondong,35.782875,128.29096
4783033000,경상북도,고령군,성산면,eupmyeondong,35.758671,128.359965
4783034000,경상북도,고령군,다산면,eupmyeondong,35.815911,128.424618
4783035000,경상북도,고령군,개진면,eupmyeondong,35.706436,128.398922
4783036000,경상북도,고령군,우곡면,eupmyeondong,35.658507,128.337623
4783037000,경상북도,고령군,쌍림면,eupmyeondong,35.688955,128.239835
4784000000,경상북도,성주군,,sigungu,35.916199,128.228689
4784025000,경상북도,성주군,성주읍,eupmyeondong,35.919712,128.282256
4784031000,경상북도,성주군,선남면,eupmyeondong,35.903122,128.356406
4784032000,경상북도,성주군,용암면,eupmyeondong,35.840912,128.317701
4784033000,경상북도,성주군,수륜면,eupmyeondong,35.832836,128.200169
4784034000,경상북도,성주군,가천면,eupmyeondong,35.869087,128.130593
4784035000,경상북도,성주군,금수면,eupmyeondong,35.919377,128.130726
4784035500,경상북도,성주군,금수강산면,eupmyeondong,35.919295,128.130847
4784036000,경상북도,성주군,대가면,eupmyeondong,35.902817,128.20801
4784037000,경상북도,성주군,벽진면,eupmyeondong,35.975974,128.190462
4784038000,경상북도,성주군,초전면,eupmyeondong,35.997902,128.250354
4784039000,경상북도,성주군,월항면,eupmyeondong,35.97444,128.302339
4785000000,경상북도,칠곡군,,sigungu,36.004395,128.464494
4785025000,경상북도,칠곡군,왜관읍,eupmyeondong,35.956087,128.411778
4785025300,경상북도,칠곡군,북삼읍,eupmyeondong,36.060063,128.346744
4785025600,경상북도,칠곡군,석적읍,eupmyeondong,36.049767,128.445663
4785031000,경상북도,칠곡군,지천면,eupmyeondong,35.966346,128.482707
4785032000,경상북도,칠곡군,동명면,eupmyeondong,36.004679,128.562127
4785033000,경상북도,칠곡군,가산면,eupmyeondong,36.07521,128.515976
4785034000,경상북도,칠곡군,석적면,eupmyeondong,36.049767,128.445663
4785035000,경상북도,칠곡군,북삼면,eupmyeondong,36.060063,128.346744
4785036000,경상북도,칠곡군,약목면,eupmyeondong,36.026146,128.356892
4785037000,경상북도,칠곡군,기산면,eupmyeondong,35.978953,128.360175
4790000000,경상북도,예천군,,sigungu,36.652097,128.47269
4790025000,경상북도,예천군,예천읍,eupmyeondong,36.661948,128.449395
4790025300,경상북도,예천군,호명읍,eupmyeondong,36.609043,128.476051
4790031000,경상북도,예천군,용문면,eupmyeondong,36.707099,128.405782
4790032000,경상북도,예천군,상리면,eupmyeondong,36.796642,128.422012
4790033000,경상북도,예천군,하리면,eupmyeondong,36.745965,128.436752
